Affiliate_id,Count,Name,Overall_percentile
19483,13,Candace Dudgeon,76.9775
14500,3,Amanda Mobilon,89.1805
15958,3,Natalia Salguero,70.3431
13066,3,Teresa Kajewski,43.6724
251,4,Jenn Scheible,68.6394
19736,11,Natalie Shacklady,93.955
20683,1,Lethicia Pedroso,33.9188
1905,10,Gretchen Stramel,91.5402
5777,13,Natalya Chadkova,94.4686
17464,4,Gwen van der Linden,75.6432
14263,3,Lisa Culver,87.312
13529,1,Daiane da Rosa Baldissera,67.8661
7330,10,Manaira Tobias,92.7321
407,6,Tana Grenz,92.1184
1758,13,Darya Bechtel,9.8589
11403,20,Emily Dies,96.7445
14187,19,Maria Carolina Lontra,89.0951
4212,4,Sophie Kaplan,95.884
12116,20,Sarah O'Shea,84.431
11010,27,Shelbi McQuary,99.1067
8913,18,Amanda Smith,99.3492
5284,11,Adrienne Hallock,93.6763
14216,12,Casie Garner,93.9067
8305,13,Diana Noyes,81.6062
12720,23,Elsa Licata,97.403
19193,1,Valentina Pomari,52.2159
5009,7,Dora Amador,66.9909
2997,19,Stephanie Garrett,98.3774
12066,8,Mallory Henderson,91.0378
12501,6,Talita Correa De Silveira,89.8321
5868,17,Emmylie Forsberg,94.0828
9615,10,Sophie Adlgasser,89.644
18824,15,Jessica Runion,90.5355
2513,2,Dolores Salken,78.7106
4465,6,Nicole Longfellow,9.215
4098,15,Samantha Briggs,99.9758
15621,12,Sarah Fosset,91.5505
10049,3,Kayla Beck,48.3502
5293,5,Lavinia Baron,81.4551
11518,23,Elena Barsony,9.404
12542,4,Jena Beaver,88.8612
2415,20,Tracy Gray,94.9527
9621,5,Karen Whitney,98.569
6352,15,Nadine Eales,79.9206
8869,8,Meg Garrett,98.8676
15848,2,Angela Zapalac,6.5438
6101,9,Kinsey Bruton,69.9038
6855,5,Alyska Kalmeijer,91.9095
7300,8,Laura Stanford,9.7821
19658,7,Nelly Epic,8.976
3618,2,Julie Fenger,90.7893
