,Name,Division,OverallScore,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
5936,Jason Wilson,I-Men,39063,6168,111,5359,60,8355,279,7817,210,14901,109,2631
45392,Colton Doyle,I-Men,39068,6169,104,9828,62,6415,262,10640,248,3936,90,8249
4971,Ty Gulker,I-Men,39075,6170,108,7025,61,7203,281,7624,242,7711,87,9512
32154,Kevin Whalen,I-Men,39085,6171,110,5888,61,7203,299,5720,241,8479,81,11795
45670,Martin Rawls-Meehan,I-Men,39091,6172,113,4399,60,8355,287,6966,240,9487,86,9884
41031,John Kennedy,I-Men,39094,6173,101,12397,60,8355,270,9432,248,3936,100,4974
55426,George Rodriguez,I-Men,39096,6174,97,15652,61,7203,300,5653,245,5614,100,4974
22637,Danny Lehr,I-Men,39097,6175,94,17917,75,1247,266,10273,246,5029,101,4631
36827,Ben Fund,I-Men,39116,6176,109,6535,61,7203,263,10550,242,7711,94,7117
23293,CJ Gustitus,I-Men,39117,6177,95,17102,62,6415,333,2884,244,6298,96,6418
2149,Jason Kettering,I-Men,39124,6178,93,18645,67,3653,303,5262,247,4447,94,7117
8492,andrea vasco,I-Men,39126,6179,95,17102,64,5084,285,7190,243,6980,108,2770
32685,Mike Schnolis,I-Men,39130,6180,106,8256,61,7203,278,8101,240,9487,97,6083
1624,Troy Gordon,I-Men,39134,6181,110,5888,60,8355,294,6172,240,9487,88,9232
37985,Chance Heinz,I-Men,39141,6182,103,10636,60,8355,315,4001,241,8479,92,7670
17360,Ragnar Gauti Hauksson,I-Men,39142,6183,98,15023,75,1247,289,6630,247,4447,81,11795
18241,Noel Robinson,I-Men,39142,6183,103,10636,57,14755,307,4841,248,3936,100,4974
67842,Tony Genovese,I-Men,39143,6185,107,7645,60,8355,275,8493,243,6980,92,7670
23058,Henry Adams,I-Men,39152,6186,102,11497,61,7203,298,5802,243,6980,92,7670
32246,Dan Bjerregaard,I-Men,39155,6187,115,3545,31,25640,289,6630,253,1927,118,1413
40668,Kyle Eertmoed,I-Men,39158,6188,104,9828,60,8355,268,9709,250,3017,90,8249
11106,Matt Whitehair,I-Men,39158,6188,101,12397,62,6415,272,9074,244,6298,100,4974
37256,Jensen Lee,I-Men,39167,6190,114,3989,60,8355,240,13968,240,9487,105,3368
5793,Mikkel Andreassen,I-Men,39179,6191,119,2290,60,8355,324,3386,173,18382,95,6766
41601,Zach LaVoie,I-Men,39179,6191,103,10636,62,6415,258,11190,250,3017,91,7921
20755,Ericlee Gilmore,I-Men,39181,6193,108,7025,60,8355,282,7530,245,5614,84,10657
37190,Niko Vandevoorde,I-Men,39182,6194,131,326,56,15225,296,5980,237,13020,101,4631
29940,Corey Doyle,I-Men,39189,6195,103,10636,60,8355,279,7817,244,6298,97,6083
27702,Cristobal Gutierrez,I-Men,39199,6196,94,17917,60,8355,290,6542,250,3017,105,3368
2456,TANGUY NEIRINCKX,I-Men,39213,6197,98,15023,60,8355,301,5590,245,5614,101,4631
58010,Toby Johnson,I-Men,39214,6198,96,16352,60,8355,347,2057,246,5029,93,7421
6948,Jason Martin,I-Men,39234,6199,101,12397,60,8355,291,6450,245,5614,96,6418
51079,Alex Hitchcock,I-Men,39245,6200,104,9828,60,8355,310,4514,244,6298,85,10250
11103,luke hanham,I-Men,39248,6201,100,13376,60,8355,293,6251,250,3017,90,8249
11141,Marco Curcio,I-Men,39257,6202,104,9828,62,6415,360,1455,150,21179,132,380
7075,Daniel Kravanis,I-Men,39259,6203,119,2290,60,8355,271,9275,239,12921,96,6418
5069,Juan Sanchez,I-Men,39274,6204,110,5888,60,8355,298,5802,229,13484,98,5745
2349,Blake Burleson,I-Men,39275,6205,106,8256,61,7203,295,6080,240,9487,90,8249
31042,Greg S,I-Men,39278,6206,99,14473,61,7203,276,8322,246,5029,102,4251
47014,Chung Chong Lam,I-Men,39280,6207,117,2849,57,14755,330,3028,199,15878,108,2770
24536,Daniel Schaerer,I-Men,39289,6208,91,20344,67,3653,283,7411,248,3936,103,3945
23594,Aaron Murray,I-Men,39295,6209,103,10636,60,8355,273,8857,246,5029,96,6418
53033,Sam starlin,I-Men,39297,6210,109,6535,63,5697,272,9074,241,8479,87,9512
26090,Tyler Milyard,I-Men,39310,6211,107,7645,59,14098,299,5720,241,8479,105,3368
79275,James Guffey,I-Men,39313,6212,100,13376,61,7203,281,7624,241,8479,109,2631
